location,country,year,tax,gini
AUS,Australia,1990,27.824893,29.5
AUS,Australia,1991,27.76466,29.6
AUS,Australia,1992,28.320172999999997,29.6
AUS,Australia,1993,29.502058,29.6
AUS,Australia,1994,29.469057,29.6
AUS,Australia,1995,29.015138,30.3
AUS,Australia,1996,27.95405,30.6
AUS,Australia,1997,27.543273,30.7
AUS,Australia,1998,27.372493,31.1
AUS,Australia,1999,26.208660000000002,31.4
AUS,Australia,2000,28.81277,31.7
AUS,Australia,2001,30.47121,31.7
AUS,Australia,2002,30.507316999999997,31.6
AUS,Australia,2003,29.880228000000002,31.6
AUS,Australia,2004,28.699187,31.6
AUS,Australia,2005,28.070028999999998,31.8
AUS,Australia,2006,27.551190000000002,32.0
AUS,Australia,2007,27.003121999999998,32.3
AUS,Australia,2008,27.85541,32.6
AUS,Australia,2009,29.688135,32.7
AUS,Australia,2010,28.985522999999997,32.7
AUS,Australia,2011,27.410525,32.5
AUS,Australia,2012,28.327116999999998,32.3
AUS,Australia,2013,28.636965999999997,32.3
AUS,Australia,2014,26.862492,32.4
AUS,Australia,2015,27.624474,32.4
AUS,Australia,2016,27.086011,32.5
AUS,Australia,2017,26.004357000000002,32.4
AUT,Austria,1990,31.520709999999998,24.9
AUT,Austria,1991,30.683863,25.5
AUT,Austria,1992,30.208957,26.0
AUT,Austria,1993,29.340460999999998,26.6
AUT,Austria,1994,30.942169,27.3
AUT,Austria,1995,29.037659,27.9
AUT,Austria,1996,29.013185999999997,27.5
AUT,Austria,1997,29.122752000000002,27.2
AUT,Austria,1998,28.573693,27.0
AUT,Austria,1999,29.095609000000003,26.6
AUT,Austria,2000,28.940786,26.6
AUT,Austria,2001,27.865517999999998,26.7
AUT,Austria,2002,28.969434999999997,26.8
AUT,Austria,2003,28.850292,26.9
AUT,Austria,2004,28.912726,26.9
AUT,Austria,2005,29.012264000000002,27.0
AUT,Austria,2006,28.373313,27.4
AUT,Austria,2007,27.974295,27.8
AUT,Austria,2008,27.489481,27.9
AUT,Austria,2009,28.520681,28.1
AUT,Austria,2010,28.384836,28.0
AUT,Austria,2011,28.60492,27.9
AUT,Austria,2012,28.464083000000002,27.7
AUT,Austria,2013,27.786469,27.7
AUT,Austria,2014,27.613390999999996,27.6
AUT,Austria,2015,27.433312,27.6
AUT,Austria,2016,28.234194,27.6
AUT,Austria,2017,28.148542,27.4
BEL,Belgium,1990,26.076514000000003,23.5
BEL,Belgium,1991,25.846791,23.6
BEL,Belgium,1992,25.967925,23.6
BEL,Belgium,1993,25.288095000000002,24.3
BEL,Belgium,1994,25.712004,25.0
BEL,Belgium,1995,25.28993,25.5
BEL,Belgium,1996,25.682014000000002,25.7
BEL,Belgium,1997,25.626242,25.8
BEL,Belgium,1998,24.046391,26.2
BEL,Belgium,1999,25.135054,26.5
BEL,Belgium,2000,25.016656,26.6
BEL,Belgium,2001,24.136704,26.6
BEL,Belgium,2002,24.250684,26.6
BEL,Belgium,2003,24.376188,26.5
BEL,Belgium,2004,24.790838,26.6
BEL,Belgium,2005,25.037238000000002,26.5
BEL,Belgium,2006,24.986122,26.3
BEL,Belgium,2007,24.987981,26.3
BEL,Belgium,2008,24.417507,26.0
BEL,Belgium,2009,24.949468,26.1
BEL,Belgium,2010,25.315082999999998,26.1
BEL,Belgium,2011,24.781827,26.1
BEL,Belgium,2012,25.018841000000002,25.9
BEL,Belgium,2013,24.20226,26.1
BEL,Belgium,2014,23.931892,26.1
BEL,Belgium,2015,23.845057,26.0
BEL,Belgium,2016,24.529177,26.0
BEL,Belgium,2017,24.224407,25.8
CAN,Canada,1990,25.841275,28.2
CAN,Canada,1991,25.889904,28.5
CAN,Canada,1992,26.337474,29.0
CAN,Canada,1993,26.677853000000002,29.0
CAN,Canada,1994,26.166061,28.8
CAN,Canada,1995,25.404512,29.3
CAN,Canada,1996,24.96761,29.8
CAN,Canada,1997,24.430621,29.6
CAN,Canada,1998,24.746413,30.4
CAN,Canada,1999,24.066713,30.7
CAN,Canada,2000,24.207963,31.0
CAN,Canada,2001,24.722345999999998,31.0
CAN,Canada,2002,26.205338,31.0
CAN,Canada,2003,26.269090000000002,31.0
CAN,Canada,2004,25.735460999999997,31.2
CAN,Canada,2005,25.182226999999997,31.0
CAN,Canada,2006,24.37425,30.9
CAN,Canada,2007,23.964119,31.1
CAN,Canada,2008,22.499249,31.0
CAN,Canada,2009,22.870725,31.0
CAN,Canada,2010,23.955504,31.2
CAN,Canada,2011,23.734003,31.0
CAN,Canada,2012,23.37647,31.5
CAN,Canada,2013,23.031852999999998,31.7
CAN,Canada,2014,23.00636,31.5
CAN,Canada,2015,23.002923000000003,31.5
CAN,Canada,2016,23.051341,31.1
CAN,Canada,2017,23.536985,31.1
CAN,Canada,2018,23.366452,30.7
CZE,Czech Republic,1993,33.318861,21.9
CZE,Czech Republic,1994,33.504272,23.0
CZE,Czech Republic,1995,32.145205,23.9
CZE,Czech Republic,1996,32.911418,25.0
CZE,Czech Republic,1997,31.040182,24.7
CZE,Czech Republic,1998,30.975853999999998,24.5
CZE,Czech Republic,1999,31.987264,24.6
CZE,Czech Republic,2000,31.487969,24.9
CZE,Czech Republic,2001,30.514214000000003,25.1
CZE,Czech Republic,2002,29.691543,25.4
CZE,Czech Republic,2003,29.613623999999998,25.6
CZE,Czech Republic,2004,31.202528000000004,25.7
CZE,Czech Republic,2005,31.200977,25.7
CZE,Czech Republic,2006,30.134421000000003,25.5
CZE,Czech Republic,2007,29.917406,25.3
CZE,Czech Republic,2008,31.497795,25.2
CZE,Czech Republic,2009,33.25508,25.2
CZE,Czech Republic,2010,33.244652,25.3
CZE,Czech Republic,2011,33.734802,25.2
CZE,Czech Republic,2012,33.896636,25.1
CZE,Czech Republic,2013,34.254745,25.2
CZE,Czech Republic,2014,32.909175,25.2
CZE,Czech Republic,2015,33.462493,25.1
CZE,Czech Republic,2016,33.016201,24.9
CZE,Czech Republic,2017,32.912391,24.6
DNK,Denmark,1990,33.913896,22.4
DNK,Denmark,1991,34.100345000000004,22.5
DNK,Denmark,1992,33.176946,23.0
DNK,Denmark,1993,32.498528,22.6
DNK,Denmark,1994,32.929210999999995,21.9
DNK,Denmark,1995,32.782403,21.8
DNK,Denmark,1996,33.440156,21.8
DNK,Denmark,1997,33.528504,22.0
DNK,Denmark,1998,34.305772,22.2
DNK,Denmark,1999,33.948432000000004,22.4
DNK,Denmark,2000,33.097952,22.4
DNK,Denmark,2001,33.727368,22.7
DNK,Denmark,2002,34.553263,22.8
DNK,Denmark,2003,34.004535,22.9
DNK,Denmark,2004,33.784948,22.9
DNK,Denmark,2005,33.19218,23.4
DNK,Denmark,2006,34.090551,23.9
DNK,Denmark,2007,34.920821000000004,23.8
DNK,Denmark,2008,33.929851,24.2
DNK,Denmark,2009,33.577025,24.5
DNK,Denmark,2010,33.261668,24.7
DNK,Denmark,2011,33.420322999999996,25.0
DNK,Denmark,2012,33.001714,25.0
DNK,Denmark,2013,32.224892,24.8
DNK,Denmark,2014,29.915128000000003,25.4
DNK,Denmark,2015,31.499361999999998,25.6
DNK,Denmark,2016,32.100405,25.4
DNK,Denmark,2017,31.783417,26.0
DNK,Denmark,2018,32.672289,26.2
FIN,Finland,1990,32.547311,21.0
FIN,Finland,1991,31.789634000000003,21.0
FIN,Finland,1992,31.695644,21.3
FIN,Finland,1993,31.576228000000004,21.9
FIN,Finland,1994,30.624207000000002,22.1
FIN,Finland,1995,30.60052,22.2
FIN,Finland,1996,29.946406,22.9
FIN,Finland,1997,31.629926,23.6
FIN,Finland,1998,30.620652000000003,24.1
FIN,Finland,1999,31.008577000000002,24.5
FIN,Finland,2000,28.975431,24.8
FIN,Finland,2001,29.640901,24.9
FIN,Finland,2002,30.297819,24.9
FIN,Finland,2003,32.017059,25.0
FIN,Finland,2004,31.831075,25.3
FIN,Finland,2005,31.463238,25.3
FIN,Finland,2006,31.282383000000003,25.5
FIN,Finland,2007,30.246491,25.6
FIN,Finland,2008,30.189294,25.2
FIN,Finland,2009,31.603309000000003,25.1
FIN,Finland,2010,31.784053000000004,25.4
FIN,Finland,2011,32.918428999999996,25.3
FIN,Finland,2012,33.055389,25.2
FIN,Finland,2013,33.183745,25.4
FIN,Finland,2014,32.847923,25.2
FIN,Finland,2015,32.366357,25.4
FIN,Finland,2016,32.822782000000004,25.6
FIN,Finland,2017,32.87828,25.8
FIN,Finland,2018,33.634609999999995,25.8
FRA,France,1990,28.410068,28.7
FRA,France,1991,27.209888,28.7
FRA,France,1992,26.477968,28.7
FRA,France,1993,26.212318,28.6
FRA,France,1994,27.064027000000003,28.6
FRA,France,1995,27.692678000000004,28.4
FRA,France,1996,27.955992,28.2
FRA,France,1997,27.442096000000003,28.0
FRA,France,1998,26.962287,27.9
FRA,France,1999,26.572196,27.9
FRA,France,2000,25.809632,27.9
FRA,France,2001,25.301248,27.9
FRA,France,2002,25.760559,27.9
FRA,France,2003,25.581978,28.0
FRA,France,2004,25.630834,28.0
FRA,France,2005,25.392661,28.0
FRA,France,2006,24.885184,28.2
FRA,France,2007,24.817848,28.7
FRA,France,2008,24.61591,29.0
FRA,France,2009,25.116398999999998,29.2
FRA,France,2010,24.821285,29.4
FRA,France,2011,24.671469000000002,29.9
FRA,France,2012,24.378376,30.0
FRA,France,2013,23.935553,29.9
FRA,France,2014,24.052,29.7
FRA,France,2015,24.240344,29.7
FRA,France,2016,24.389584,29.6
FRA,France,2017,24.472279999999998,29.5
DEU,Germany,1990,26.733331,25.4
DEU,Germany,1991,27.049469000000002,25.8
DEU,Germany,1992,27.087971000000003,25.7
DEU,Germany,1993,27.987501,25.8
DEU,Germany,1994,28.878978999999998,25.9
DEU,Germany,1995,27.978835999999998,25.8
DEU,Germany,1996,28.072399,25.6
DEU,Germany,1997,27.909865000000003,25.6
DEU,Germany,1998,27.305151000000002,25.6
DEU,Germany,1999,27.974887,25.8
DEU,Germany,2000,28.067458000000002,26.1
DEU,Germany,2001,28.729531,26.7
DEU,Germany,2002,29.072290999999996,26.9
DEU,Germany,2003,29.304940000000002,27.0
DEU,Germany,2004,29.189728000000002,27.5
DEU,Germany,2005,29.079279999999997,28.2
DEU,Germany,2006,28.389944,28.3
DEU,Germany,2007,29.273989,28.4
DEU,Germany,2008,28.918412,28.5
DEU,Germany,2009,29.807593,28.4
DEU,Germany,2010,29.458586999999998,28.5
DEU,Germany,2011,29.142438000000002,28.5
DEU,Germany,2012,28.422962,28.7
DEU,Germany,2013,28.498777,28.8
DEU,Germany,2014,28.203205999999998,28.9
DEU,Germany,2015,27.791446999999998,29.1
DEU,Germany,2016,27.107313,29.2
DEU,Germany,2017,26.281294,29.1
GRC,Greece,1990,44.537489,34.1
GRC,Greece,1991,46.287144,34.2
GRC,Greece,1992,47.870927,34.3
GRC,Greece,1993,45.716066999999995,34.3
GRC,Greece,1994,43.260318,34.4
GRC,Greece,1995,41.004708,34.5
GRC,Greece,1996,41.486965999999995,34.4
GRC,Greece,1997,39.904428,34.2
GRC,Greece,1998,37.288708,34.0
GRC,Greece,1999,36.550979,33.8
GRC,Greece,2000,34.773305,33.5
GRC,Greece,2001,36.510125,33.3
GRC,Greece,2002,36.205051,33.1
GRC,Greece,2003,35.609046,32.8
GRC,Greece,2004,35.51093,32.9
GRC,Greece,2005,34.59891,32.9
GRC,Greece,2006,36.042695,32.8
GRC,Greece,2007,36.030545000000004,32.6
GRC,Greece,2008,36.139193,32.6
GRC,Greece,2009,35.662067,32.7
GRC,Greece,2010,38.24228,33.0
GRC,Greece,2011,39.114391,33.3
GRC,Greece,2012,37.930329,33.5
GRC,Greece,2013,39.256173,33.3
GRC,Greece,2014,39.32869,33.3
GRC,Greece,2015,39.465336,33.1
GRC,Greece,2016,39.98155,32.8
GRC,Greece,2017,39.343467,32.5
HUN,Hungary,1991,33.16942,25.3
HUN,Hungary,1992,35.965646,26.1
HUN,Hungary,1993,37.130396000000005,26.5
HUN,Hungary,1994,37.06395,27.5
HUN,Hungary,1995,40.632661,27.5
HUN,Hungary,1996,40.681695,27.5
HUN,Hungary,1997,39.311976,27.3
HUN,Hungary,1998,38.946637,27.3
HUN,Hungary,1999,40.334221,27.5
HUN,Hungary,2000,40.483801,27.4
HUN,Hungary,2001,38.72355,27.4
HUN,Hungary,2002,37.443025,27.5
HUN,Hungary,2003,39.233387,27.9
HUN,Hungary,2004,40.683584,27.9
HUN,Hungary,2005,39.550065999999994,27.7
HUN,Hungary,2006,38.282393,27.3
HUN,Hungary,2007,37.60638,27.0
HUN,Hungary,2008,36.940587,26.6
HUN,Hungary,2009,39.467653999999996,26.9
HUN,Hungary,2010,42.879259000000005,27.2
HUN,Hungary,2011,43.624796999999994,27.4
HUN,Hungary,2012,44.017859,27.8
HUN,Hungary,2013,43.972993,28.1
HUN,Hungary,2014,43.83113,27.9
HUN,Hungary,2015,43.899196,27.7
HUN,Hungary,2016,42.359658,27.8
HUN,Hungary,2017,42.925902,28.0
HUN,Hungary,2018,44.047903999999996,28.0
ISL,Iceland,1992,49.53694,27.4
ISL,Iceland,1993,49.816152,27.3
ISL,Iceland,1994,49.029154999999996,27.4
ISL,Iceland,1995,48.690242,27.6
ISL,Iceland,1996,48.211655,28.0
ISL,Iceland,1997,47.342251,28.5
ISL,Iceland,1998,46.050734999999996,28.9
ISL,Iceland,1999,46.110079,29.4
ISL,Iceland,2000,44.094495,29.8
ISL,Iceland,2001,40.343488,30.0
ISL,Iceland,2002,40.755859,29.9
ISL,Iceland,2003,41.110579,29.5
ISL,Iceland,2004,42.214628000000005,29.0
ISL,Iceland,2005,41.981099,29.1
ISL,Iceland,2006,42.322154,29.1
ISL,Iceland,2007,40.429512,28.6
ISL,Iceland,2008,36.9551,28.3
ISL,Iceland,2009,35.508575,27.0
ISL,Iceland,2010,35.191402000000004,26.0
ISL,Iceland,2011,34.549996,25.6
ISL,Iceland,2012,34.899793,25.2
ISL,Iceland,2013,33.516455,24.8
ISL,Iceland,2014,30.986176,24.8
ISL,Iceland,2015,32.367832,24.8
IRL,Ireland,1990,41.933539,32.3
IRL,Ireland,1991,40.366888,32.3
IRL,Ireland,1992,39.848129,32.4
IRL,Ireland,1993,37.959998999999996,32.5
IRL,Ireland,1994,38.822287,32.6
IRL,Ireland,1995,40.411234,32.5
IRL,Ireland,1996,39.371457,32.3
IRL,Ireland,1997,39.439226,32.1
IRL,Ireland,1998,38.841563,31.9
IRL,Ireland,1999,38.389595,31.5
IRL,Ireland,2000,38.151123,31.1
IRL,Ireland,2001,37.054574,30.7
IRL,Ireland,2002,39.04769,30.5
IRL,Ireland,2003,38.016579,30.3
IRL,Ireland,2004,37.684698,30.3
IRL,Ireland,2005,38.212143,30.1
IRL,Ireland,2006,36.369741999999995,29.9
IRL,Ireland,2007,36.391861,29.7
IRL,Ireland,2008,37.383115000000004,29.4
IRL,Ireland,2009,35.696344,29.7
IRL,Ireland,2010,36.17241,29.8
IRL,Ireland,2011,34.315053999999996,30.0
IRL,Ireland,2012,34.286029,30.2
IRL,Ireland,2013,33.612624,30.2
IRL,Ireland,2014,33.637847,29.9
IRL,Ireland,2015,32.610958000000004,29.7
IRL,Ireland,2016,32.540788,29.6
IRL,Ireland,2017,32.43712,29.5
IRL,Ireland,2018,30.046716999999997,29.2
ITA,Italy,1990,28.018046999999996,31.5
ITA,Italy,1991,28.073896,31.3
ITA,Italy,1992,27.14272,32.0
ITA,Italy,1993,25.911281,32.7
ITA,Italy,1994,28.321210999999998,32.9
ITA,Italy,1995,27.289203000000004,33.0
ITA,Italy,1996,25.779206,33.0
ITA,Italy,1997,25.866768,33.0
ITA,Italy,1998,27.503262,33.2
ITA,Italy,1999,27.530192,33.0
ITA,Italy,2000,27.890502,33.1
ITA,Italy,2001,26.832488,33.2
ITA,Italy,2002,26.957565000000002,33.0
ITA,Italy,2003,25.713348,32.9
ITA,Italy,2004,26.411431,32.8
ITA,Italy,2005,26.422765000000002,32.7
ITA,Italy,2006,26.21058,32.6
ITA,Italy,2007,25.269782,32.4
ITA,Italy,2008,24.784966,32.5
ITA,Italy,2009,24.805484,32.6
ITA,Italy,2010,26.288842,32.8
ITA,Italy,2011,26.842678999999997,33.2
ITA,Italy,2012,26.467609999999997,33.4
ITA,Italy,2013,26.218512,33.4
ITA,Italy,2014,27.080094,33.4
ITA,Italy,2015,27.072451,33.5
ITA,Italy,2016,28.15987,33.6
ITA,Italy,2017,28.425637,33.7
JPN,Japan,1990,13.693389000000002,28.4
JPN,Japan,1991,13.953651,28.7
JPN,Japan,1992,14.697547,29.0
JPN,Japan,1993,15.132385000000001,29.1
JPN,Japan,1994,16.145154,29.4
JPN,Japan,1995,15.804569,29.8
JPN,Japan,1996,16.010634,30.2
JPN,Japan,1997,17.231688000000002,30.4
JPN,Japan,1998,19.641059,30.7
JPN,Japan,1999,20.500307,30.9
JPN,Japan,2000,19.251327,31.2
JPN,Japan,2001,19.346401999999998,31.2
JPN,Japan,2002,20.115709,31.2
JPN,Japan,2003,20.307794,30.9
JPN,Japan,2004,20.016517,30.5
JPN,Japan,2005,19.418136999999998,30.5
JPN,Japan,2006,18.636678,30.6
JPN,Japan,2007,17.952942,30.7
JPN,Japan,2008,17.9487,31.4
JPN,Japan,2009,19.071232000000002,31.7
JPN,Japan,2010,18.666514000000003,31.9
JPN,Japan,2011,18.402036,32.0
JPN,Japan,2012,17.94831,32.1
JPN,Japan,2013,17.584155,31.9
JPN,Japan,2014,19.753975,31.7
JPN,Japan,2015,20.966044,32.0
KOR,Korea,1990,44.274586,29.5
KOR,Korea,1991,42.093803,29.1
KOR,Korea,1992,43.153731,28.8
KOR,Korea,1993,41.280128999999995,28.8
KOR,Korea,1994,41.096555,28.9
KOR,Korea,1995,40.715312,29.1
KOR,Korea,1996,41.682415,29.5
KOR,Korea,1997,42.732231,29.9
KOR,Korea,1998,37.929773,30.5
KOR,Korea,1999,40.247011,30.8
KOR,Korea,2000,38.35137,30.7
KOR,Korea,2001,39.611338,30.8
KOR,Korea,2002,38.730104,30.9
KOR,Korea,2003,37.034201,30.8
KOR,Korea,2004,36.187001,30.8
KOR,Korea,2005,34.26222,31.0
KOR,Korea,2006,32.532339,31.0
KOR,Korea,2007,31.272261999999998,31.2
KOR,Korea,2008,31.629568,31.4
KOR,Korea,2009,31.808497999999997,31.5
KOR,Korea,2010,33.709388,31.2
KOR,Korea,2011,31.235264,31.2
KOR,Korea,2012,31.172217,31.1
KOR,Korea,2013,30.724782,31.1
KOR,Korea,2014,29.951454,31.3
KOR,Korea,2015,28.0329,31.7
KOR,Korea,2016,28.136143,32.3
KOR,Korea,2017,27.727888,32.7
LUX,Luxembourg,1990,23.593212,24.2
LUX,Luxembourg,1991,24.553054,24.3
LUX,Luxembourg,1992,26.52092,24.5
LUX,Luxembourg,1993,26.147958,24.6
LUX,Luxembourg,1994,26.998535999999998,24.8
LUX,Luxembourg,1995,25.666529,25.2
LUX,Luxembourg,1996,25.207829,25.5
LUX,Luxembourg,1997,25.770338,25.8
LUX,Luxembourg,1998,25.705579,25.9
LUX,Luxembourg,1999,26.452801,26.0
LUX,Luxembourg,2000,26.326134999999997,26.1
LUX,Luxembourg,2001,25.765506,26.1
LUX,Luxembourg,2002,26.625035999999998,26.4
LUX,Luxembourg,2003,27.278067,26.6
LUX,Luxembourg,2004,29.679748999999997,26.9
LUX,Luxembourg,2005,28.757809,27.1
LUX,Luxembourg,2006,27.537544,27.3
LUX,Luxembourg,2007,27.770775,27.7
LUX,Luxembourg,2008,27.819264,28.0
LUX,Luxembourg,2009,27.849794,27.8
LUX,Luxembourg,2010,27.315809,27.9
LUX,Luxembourg,2011,28.004036,28.1
LUX,Luxembourg,2012,28.321309000000003,28.7
LUX,Luxembourg,2013,28.218244,28.6
LUX,Luxembourg,2014,28.975469,28.6
LUX,Luxembourg,2015,25.679266000000002,29.1
LUX,Luxembourg,2016,25.268798999999998,29.4
